Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,242.929993,243.250000,222.449997,229.130005,227.549423,2522900
2021-09-14,232.199997,235.000000,228.740005,230.470001,228.880188,1322400
2021-09-15,230.559998,236.600006,230.410004,233.979996,232.365936,1469300
2021-09-16,232.300003,232.559998,225.350006,231.250000,230.038208,1323100
2021-09-17,228.440002,230.000000,223.750000,226.850006,225.661285,2097300
2021-09-20,216.649994,218.000000,210.240005,215.479996,214.350845,2246600
2021-09-21,218.639999,220.350006,213.529999,216.490005,215.355560,1008900
2021-09-22,219.699997,226.639999,217.020004,223.279999,222.109985,904500
2021-09-23,226.889999,232.240005,226.889999,229.149994,227.949203,1055100
2021-09-24,227.889999,229.669998,224.720001,226.399994,225.213638,704200
2021-09-27,225.990005,226.679993,220.029999,222.250000,221.085373,843700
2021-09-28,219.009995,219.940002,215.059998,216.449997,215.315750,984200
2021-09-29,218.809998,220.919998,216.399994,218.970001,217.822556,740400
2021-09-30,223.639999,228.850006,218.839996,218.970001,217.822556,1019700
2021-10-01,219.470001,221.630005,210.490005,218.889999,217.742981,1116200
2021-10-04,219.000000,220.050003,212.610001,215.210007,214.082260,1015800
2021-10-05,217.020004,223.820007,215.149994,222.389999,221.224625,1049600
2021-10-06,220.000000,222.770004,214.559998,222.369995,221.204742,1005800
2021-10-07,226.000000,226.940002,221.899994,222.300003,221.135101,641000
2021-10-08,221.979996,222.759995,213.559998,215.059998,213.933044,1260600
2021-10-11,215.100006,219.179993,213.899994,214.160004,213.037766,743100
2021-10-12,217.960007,218.949997,214.869995,216.869995,215.733566,707300
2021-10-13,218.500000,226.220001,217.899994,223.660004,222.487976,1016400
2021-10-14,225.050003,232.380005,225.039993,231.330002,230.117783,1127900
2021-10-15,233.589996,234.539993,228.619995,228.770004,227.571228,908300
2021-10-18,227.839996,237.869995,227.539993,236.910004,235.668564,1223100
2021-10-19,243.770004,244.360001,233.070007,235.949997,234.713577,1069900
2021-10-20,238.389999,238.990005,232.630005,235.169998,233.937668,911700
2021-10-21,233.919998,235.800003,230.399994,234.160004,232.932953,656500
2021-10-22,235.479996,237.690002,230.929993,231.509995,230.296844,761800
2021-10-25,234.899994,243.000000,232.139999,239.440002,238.185287,1600500
2021-10-26,239.440002,242.149994,234.000000,236.160004,234.922485,1121200
2021-10-27,236.699997,238.639999,230.630005,231.750000,230.535583,1140400
2021-10-28,233.259995,246.210007,232.750000,246.210007,244.919830,1569900
2021-10-29,239.750000,251.800003,236.089996,250.470001,249.157516,4261200
2021-11-01,256.000000,259.179993,249.589996,255.869995,254.529205,1638100
2021-11-02,256.000000,260.989990,251.550003,260.019989,258.657440,1631500
2021-11-03,258.489990,263.500000,255.490005,261.950012,260.577362,1172500
2021-11-04,273.769989,276.000000,264.049988,272.660004,271.231232,1841800
2021-11-05,273.790009,274.989990,267.480011,272.510010,271.082031,990800
2021-11-08,275.799988,279.950012,272.619995,278.519989,277.060486,1234600
2021-11-09,280.000000,282.869995,271.070007,274.570007,273.131226,1051000
2021-11-10,269.890015,274.079987,263.570007,265.750000,264.357422,1331100
2021-11-11,266.570007,273.380005,263.959991,272.309998,270.883057,785700
2021-11-12,272.489990,276.619995,270.100006,276.399994,274.951630,767700
2021-11-15,275.829987,276.529999,265.320007,271.290009,269.868408,946100
2021-11-16,269.559998,273.489990,267.029999,272.470001,271.042236,674400
2021-11-17,273.200012,275.899994,270.250000,273.390015,271.957428,603300
2021-11-18,277.000000,278.239990,269.589996,274.660004,273.220734,823400
2021-11-19,274.049988,282.549988,272.880005,281.429993,279.955231,1028800
2021-11-22,287.260010,291.480011,281.100006,283.799988,282.312836,2346100
2021-11-23,282.000000,286.489990,271.040009,275.160004,273.718140,1329500
2021-11-24,272.279999,275.000000,267.109985,274.480011,273.041718,974400
2021-11-26,265.000000,269.679993,262.839996,266.850006,265.451660,884300
2021-11-29,271.290009,277.470001,268.200012,275.890015,274.444305,1004800
2021-11-30,275.000000,277.589996,264.299988,266.489990,265.093567,1377500
2021-12-01,270.010010,276.000000,259.799988,259.850006,258.488342,1247400
2021-12-02,261.000000,264.899994,255.350006,261.390015,260.020294,1204300
2021-12-03,262.260010,267.809998,247.119995,251.470001,250.152252,1623500
2021-12-06,251.949997,252.690002,239.110001,248.539993,247.237610,1036000
2021-12-07,253.259995,263.190002,253.259995,259.529999,258.170044,888200
2021-12-08,261.000000,265.859985,258.690002,264.640015,263.253265,832600
2021-12-09,261.440002,266.489990,257.299988,257.470001,256.120789,682200
2021-12-10,260.510010,263.559998,257.220001,262.869995,261.492523,667500
2021-12-13,263.000000,263.079987,247.949997,248.800003,247.496262,1101600
2021-12-14,245.940002,247.649994,239.710007,243.830002,242.552292,1207700
2021-12-15,229.320007,240.479996,226.940002,239.789993,238.533463,1854800
2021-12-16,242.690002,243.000000,228.399994,230.919998,230.084167,1470100
2021-12-17,227.070007,232.520004,222.259995,229.869995,229.037964,2350400
2021-12-20,220.110001,223.169998,215.679993,218.130005,217.340454,1703200
2021-12-21,222.419998,225.000000,219.770004,224.149994,223.338654,805800
2021-12-22,224.000000,228.929993,223.419998,225.229996,224.414749,779100
2021-12-23,225.690002,229.479996,223.169998,227.899994,227.075073,810000
2021-12-27,229.539993,233.339996,227.500000,233.100006,232.256287,593400
2021-12-28,236.110001,236.710007,231.020004,232.800003,231.957352,704600
2021-12-29,231.500000,232.910004,227.070007,232.529999,231.688339,573800
2021-12-30,231.000000,237.220001,231.000000,234.350006,233.501740,610200
2021-12-31,234.009995,237.130005,233.470001,233.770004,232.923843,380300
2022-01-03,236.729996,239.050003,229.399994,236.669998,235.813339,1130500
2022-01-04,239.020004,247.949997,238.470001,242.580002,241.701950,1142500
2022-01-05,240.000000,247.429993,235.380005,235.639999,234.787079,1072100
2022-01-06,234.000000,235.669998,227.169998,233.380005,232.535263,1002400
2022-01-07,234.009995,238.869995,231.729996,236.020004,235.165695,795700
2022-01-10,231.000000,233.000000,220.080002,226.970001,226.148453,1105400
2022-01-11,227.660004,240.899994,227.149994,240.169998,239.300674,987000
2022-01-12,245.000000,248.000000,239.570007,241.070007,240.197433,1143300
2022-01-13,242.960007,246.789993,234.520004,235.229996,234.378555,610700
2022-01-14,232.000000,235.880005,228.929993,233.669998,232.824188,557100
2022-01-18,230.970001,232.270004,224.320007,226.300003,225.480881,773900
2022-01-19,227.820007,229.190002,219.580002,219.690002,218.894806,705600
2022-01-20,220.690002,227.270004,214.800003,217.149994,216.363998,1190800
2022-01-21,214.039993,219.490005,207.740005,212.750000,211.979919,1345200
2022-01-24,205.960007,212.779999,197.139999,211.919998,211.152924,1994700
2022-01-25,208.110001,210.839996,204.139999,206.009995,205.264313,1231900
2022-01-26,211.550003,214.649994,202.559998,205.619995,204.875732,1082600
2022-01-27,212.830002,214.889999,203.220001,205.429993,204.686417,942500
2022-01-28,204.830002,206.449997,197.000000,206.229996,205.483536,819500
2022-01-31,207.000000,220.960007,207.000000,220.740005,219.941025,1137000
2022-02-01,227.559998,229.410004,219.850006,225.199997,224.384857,916700
2022-02-02,225.910004,226.960007,220.970001,221.490005,220.688293,818600
2022-02-03,218.000000,220.990005,214.580002,215.059998,214.281555,654300
2022-02-04,214.500000,219.000000,213.449997,216.020004,215.238098,720600
2022-02-07,217.460007,223.880005,217.220001,219.779999,218.984482,780100
2022-02-08,218.929993,227.410004,218.289993,226.690002,225.869461,1128400
2022-02-09,231.080002,237.820007,231.080002,236.429993,235.574203,972400
2022-02-10,233.449997,244.309998,232.149994,236.039993,235.185623,795700
2022-02-11,233.470001,239.089996,228.610001,230.889999,230.054276,1009800
2022-02-14,230.179993,233.880005,224.910004,227.679993,226.855881,875100
2022-02-15,232.119995,242.869995,232.119995,241.389999,240.516266,1042100
2022-02-16,241.009995,247.979996,236.199997,246.000000,245.109589,1394800
2022-02-17,218.490005,221.000000,194.830002,197.020004,196.306870,6180600
2022-02-18,200.020004,201.410004,187.009995,190.759995,190.069519,3060900
2022-02-22,189.100006,199.630005,188.600006,191.850006,191.155579,1635500
2022-02-23,193.000000,196.119995,180.820007,182.000000,181.341232,1644000
2022-02-24,172.259995,184.960007,169.929993,184.199997,183.533264,1979800
2022-02-25,184.399994,192.000000,180.179993,191.949997,191.255219,1135300
2022-02-28,192.600006,200.880005,190.529999,195.889999,195.180954,1583600
2022-03-01,194.479996,196.940002,184.240005,186.440002,185.765152,992000
2022-03-02,189.149994,192.110001,183.770004,191.119995,190.428223,840600
2022-03-03,193.500000,194.830002,184.509995,186.330002,185.655563,1071900
2022-03-04,182.990005,184.759995,174.720001,179.070007,178.421844,1313900
2022-03-07,180.580002,181.809998,171.139999,172.089996,171.467102,1051400
2022-03-08,171.529999,184.619995,170.009995,180.740005,180.085800,1463500
2022-03-09,188.539993,189.929993,182.229996,187.130005,186.452667,1332400
2022-03-10,184.619995,189.309998,183.509995,188.369995,187.688171,785600
2022-03-11,188.770004,191.449997,184.639999,184.759995,184.091232,769600
2022-03-14,184.869995,186.169998,175.259995,176.289993,175.651886,973200
2022-03-15,175.360001,182.699997,172.779999,181.949997,181.291412,834400
2022-03-16,185.869995,193.979996,185.759995,191.250000,190.557739,890700
2022-03-17,187.839996,196.600006,187.839996,196.369995,196.064148,706600
2022-03-18,196.649994,199.070007,194.649994,198.240005,197.931259,1347100
2022-03-21,199.020004,200.630005,193.000000,198.679993,198.370560,818500
2022-03-22,198.979996,206.350006,197.910004,205.600006,205.279785,990600
2022-03-23,203.210007,212.220001,202.660004,208.210007,207.885727,903500
2022-03-24,208.000000,214.679993,206.479996,214.149994,213.816467,753000
2022-03-25,214.110001,218.020004,212.419998,217.580002,217.241135,836300
2022-03-28,217.410004,218.970001,210.330002,214.339996,214.006165,832800
2022-03-29,218.000000,223.889999,214.130005,222.479996,222.133484,859500
2022-03-30,220.880005,226.600006,219.419998,223.149994,222.802444,934100
2022-03-31,222.330002,230.000000,221.070007,221.149994,220.805557,1141500
2022-04-01,224.000000,228.380005,222.380005,224.919998,224.569687,864500
2022-04-04,224.139999,226.360001,220.139999,226.039993,225.687943,744000
2022-04-05,226.990005,228.259995,217.080002,217.300003,216.961563,1136100
2022-04-06,215.949997,215.949997,205.509995,211.470001,211.140640,1381700
2022-04-07,212.000000,215.000000,205.820007,211.850006,211.520050,847200
2022-04-08,212.660004,214.690002,206.199997,211.000000,210.671371,736900
2022-04-11,207.339996,209.149994,201.460007,206.000000,205.679169,1054000
2022-04-12,208.699997,212.990005,202.479996,205.020004,204.700699,710100
2022-04-13,206.770004,212.699997,206.020004,212.500000,212.169037,517400
2022-04-14,212.970001,215.220001,210.220001,210.889999,210.561539,572600
2022-04-18,210.850006,213.440002,208.440002,209.669998,209.343445,565900
2022-04-19,210.139999,218.729996,207.169998,218.149994,217.810226,718300
2022-04-20,221.669998,222.210007,215.580002,217.190002,216.851730,774000
2022-04-21,220.979996,222.699997,206.100006,207.240005,206.917236,1190600
2022-04-22,207.520004,210.699997,200.369995,200.639999,200.327515,877300
2022-04-25,198.100006,200.190002,191.100006,198.460007,198.150909,1530000
2022-04-26,197.039993,198.500000,187.630005,187.759995,187.467560,1013000
2022-04-27,187.360001,196.380005,187.360001,192.229996,191.930603,1006900
2022-04-28,194.190002,196.289993,187.779999,195.259995,194.955887,942300
2022-04-29,195.360001,202.059998,191.800003,192.830002,192.529678,986900
